Season,Height,Tea,Continent
Autumn (September - November),Short,"Yes, all the time",North America
Autumn (September - November),Medium,I like certain types sometimes,North America
Winter (December - February),Tall,"Yes, all the time",North America
Summer (June - August),Medium,"Yes, all the time",North America
Summer (June - August),Tall,I like certain types sometimes,North America
Autumn (September - November),Tall,I like certain types sometimes,North America
Autumn (September - November),Tall,I like certain types sometimes,North America
Autumn (September - November),Medium,I like certain types sometimes,North America
Autumn (September - November),Medium,"Yes, all the time",North America
Autumn (September - November),Tall,I like certain types sometimes,North America
Spring (March - May),Medium,"Yes, all the time",South America
Autumn (September - November),Medium,"Yes, all the time",South America
Summer (June - August),Medium,"Yes, all the time",North America
Summer (June - August),Medium,"Yes, all the time",North America
Summer (June - August),Medium,I like certain types sometimes,North America
Winter (December - February),Medium,I like certain types sometimes,North America
Winter (December - February),Short,I like certain types sometimes,North America
Autumn (September - November),Tall,"Yes, all the time",North America
Spring (March - May),Medium,I like certain types sometimes,North America
Spring (March - May),Medium,"Yes, all the time",North America
Spring (March - May),Tall,Never,North America
Autumn (September - November),Medium,"Yes, all the time",North America
Winter (December - February),Short,"Yes, all the time",North America
Autumn (September - November),Tall,Never,North America
Spring (March - May),Tall,I like certain types sometimes,North America
Spring (March - May),Medium,Never,North America
Winter (December - February),Short,"Yes, all the time",North America
Winter (December - February),Medium,I like certain types sometimes,North America
Winter (December - February),Medium,I like certain types sometimes,North America
Autumn (September - November),Tall,"Yes, all the time",North America
Spring (March - May),Medium,"Yes, all the time",North America
Winter (December - February),Medium,"Yes, all the time",North America
Summer (June - August),Tall,"Yes, all the time",North America
Autumn (September - November),Medium,"Yes, all the time",North America
Summer (June - August),Medium,"Yes, all the time",North America
Autumn (September - November),Tall,"Yes, all the time",Europe
Autumn (September - November),Medium,Never,North America
Autumn (September - November),Tall,"Yes, all the time",North America
Autumn (September - November),Medium,I like certain types sometimes,North America
Summer (June - August),Medium,I like certain types sometimes,North America
Winter (December - February),Short,I like certain types sometimes,North America
Autumn (September - November),Medium,I like certain types sometimes,North America
Summer (June - August),Medium,I like certain types sometimes,Asia or Oceania
Summer (June - August),Tall,Never,North America
Autumn (September - November),Medium,I like certain types sometimes,North America
Spring (March - May),Medium,I like certain types sometimes,North America
Autumn (September - November),Tall,I like certain types sometimes,North America
Winter (December - February),Short,I like certain types sometimes,North America
Autumn (September - November),Tall,I like certain types sometimes,North America
Winter (December - February),Short,Never,North America
Autumn (September - November),Tall,I like certain types sometimes,North America
Summer (June - August),Medium,Never,North America
Winter (December - February),Medium,"Yes, all the time",North America
Spring (March - May),Tall,I like certain types sometimes,South America
Winter (December - February),Tall,I like certain types sometimes,Asia or Oceania
Spring (March - May),Medium,"Yes, all the time",North America
Winter (December - February),Tall,Never,North America
Summer (June - August),Short,I like certain types sometimes,North America
Winter (December - February),Short,"Yes, all the time",North America
Summer (June - August),Short,"Yes, all the time",North America
Winter (December - February),Short,"Yes, all the time",North America
Winter (December - February),Tall,"Yes, all the time",North America
Autumn (September - November),Tall,"Yes, all the time",North America
Summer (June - August),Medium,"Yes, all the time",North America
Spring (March - May),Medium,"Yes, all the time",North America
Winter (December - February),Short,"Yes, all the time",North America
Winter (December - February),Short,"Yes, all the time",North America
Summer (June - August),Tall,"Yes, all the time",North America
Winter (December - February),Short,"Yes, all the time",North America
Autumn (September - November),Short,I like certain types sometimes,North America
Autumn (September - November),Medium,"Yes, all the time",North America
Spring (March - May),Tall,Never,North America
Summer (June - August),Medium,"Yes, all the time",North America
Winter (December - February),Tall,"Yes, all the time",Europe
Spring (March - May),Medium,Never,North America
Summer (June - August),Short,I like certain types sometimes,Asia or Oceania
Winter (December - February),Medium,I like certain types sometimes,North America
Winter (December - February),Short,I like certain types sometimes,North America
Spring (March - May),Medium,"Yes, all the time",North America
Winter (December - February),Tall,I like certain types sometimes,Asia or Oceania
Spring (March - May),Tall,"Yes, all the time",North America
Autumn (September - November),Medium,I like certain types sometimes,North America
Autumn (September - November),Tall,"Yes, all the time",Europe
Autumn (September - November),Medium,"Yes, all the time",North America
Autumn (September - November),Medium,I like certain types sometimes,North America
Spring (March - May),Medium,"Yes, all the time",North America
Winter (December - February),Short,"Yes, all the time",North America
Spring (March - May),Short,"Yes, all the time",North America
Autumn (September - November),Short,I like certain types sometimes,Asia or Oceania
Summer (June - August),Medium,I like certain types sometimes,North America
Summer (June - August),Medium,Never,North America
Spring (March - May),Medium,"Yes, all the time",North America
Summer (June - August),Tall,"Yes, all the time",Europe
Autumn (September - November),Medium,I like certain types sometimes,North America
Autumn (September - November),Short,"Yes, all the time",North America
Spring (March - May),Tall,I like certain types sometimes,North America
Summer (June - August),Tall,I like certain types sometimes,North America
Spring (March - May),Medium,I like certain types sometimes,North America
Autumn (September - November),Tall,"Yes, all the time",North America
Spring (March - May),Tall,I like certain types sometimes,Europe
Spring (March - May),Medium,"Yes, all the time",North America
Summer (June - August),Medium,"Yes, all the time",Asia or Oceania
Summer (June - August),Tall,I like certain types sometimes,Europe
Summer (June - August),Medium,I like certain types sometimes,North America
Summer (June - August),Medium,Never,North America
Autumn (September - November),Medium,"Yes, all the time",North America
Spring (March - May),Tall,"Yes, all the time",Europe
Spring (March - May),Medium,"Yes, all the time",North America
Summer (June - August),Tall,I like certain types sometimes,North America
Autumn (September - November),Short,I like certain types sometimes,North America
Spring (March - May),Short,I like certain types sometimes,North America
Spring (March - May),Medium,"Yes, all the time",North America
Summer (June - August),Short,"Yes, all the time",North America
Spring (March - May),Short,"Yes, all the time",North America
Autumn (September - November),Tall,Never,North America
Autumn (September - November),Short,I like certain types sometimes,North America
Winter (December - February),Medium,"Yes, all the time",North America
Spring (March - May),Tall,"Yes, all the time",North America
Spring (March - May),Medium,"Yes, all the time",North America
Winter (December - February),Medium,I like certain types sometimes,North America
Autumn (September - November),Medium,I like certain types sometimes,Asia or Oceania
Spring (March - May),Short,"Yes, all the time",North America
Spring (March - May),Short,I like certain types sometimes,North America
Summer (June - August),Medium,Never,North America
Autumn (September - November),Tall,"Yes, all the time",North America
Autumn (September - November),Tall,I like certain types sometimes,North America
Autumn (September - November),Short,"Yes, all the time",North America
Autumn (September - November),Short,I like certain types sometimes,North America
Spring (March - May),Short,"Yes, all the time",North America
Spring (March - May),Medium,I like certain types sometimes,Asia or Oceania
Spring (March - May),Medium,I like certain types sometimes,North America
Winter (December - February),Medium,"Yes, all the time",North America
Winter (December - February),Medium,"Yes, all the time",North America
Autumn (September - November),Short,I like certain types sometimes,North America
Winter (December - February),Medium,"Yes, all the time",North America
