week	cases
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	3
21	0
22	16
23	0
24	32
25	0
26	64
27	0
28	58
29	0
30	49
31	0
32	87
33	0
34	106
35	0
36	76
37	0
38	96
39	0
40	143
41	0
42	133
43	0
44	125
45	0
46	169
47	0
48	189
49	0
50	212
51	0
52	229
53	384
54	254
55	390
56	350
57	315
58	356
59	371
60	364
61	455
62	386
63	399
64	456
65	497
66	435
67	496
68	421
69	454
70	533
71	423
72	385
73	537
74	565
75	382
76	397
77	327
78	397
79	315
80	362
81	400
82	337
83	248
84	346
85	184
86	280
87	117
88	116
89	102
90	65
91	81
92	80
93	76
94	87
95	92
96	96
97	79
98	63
99	63
100	81
101	88
102	58
103	32
104	55
105	33
106	34
107	17
108	25
109	10
110	9
111	8
112	9
113	12
114	10
115	11
116	1
117	4
118	9
119	2
120	0
121	8
122	0
